Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,150.50,155.20,149.80,152.30,152.30,2500000
2024-01-02,152.30,157.60,151.50,156.80,156.80,3100000
2024-01-03,156.80,158.90,155.20,157.50,157.50,2800000
2024-01-04,157.50,161.20,156.80,159.80,159.80,3200000
2024-01-05,159.80,162.50,158.50,161.20,161.20,2900000
2024-01-08,161.20,165.30,160.80,164.50,164.50,3400000
2024-01-09,164.50,166.80,163.20,165.90,165.90,3100000
2024-01-10,165.90,168.50,165.10,167.30,167.30,2700000
2024-01-11,167.30,170.20,166.50,169.80,169.80,3300000
2024-01-12,169.80,172.50,169.00,171.20,171.20,3000000
2024-01-15,171.20,174.80,170.50,173.60,173.60,3500000
2024-01-16,173.60,176.20,172.80,175.10,175.10,3200000
2024-01-17,175.10,177.90,174.30,176.50,176.50,2900000
2024-01-18,176.50,179.20,175.80,178.30,178.30,3300000
2024-01-19,178.30,181.50,177.60,180.20,180.20,3600000
2024-01-22,180.20,183.30,179.50,182.10,182.11,3400000
2024-01-23,182.10,185.80,181.60,184.50,184.50,3700000
2024-01-24,184.50,187.20,183.80,186.30,186.30,3200000
2024-01-25,186.30,189.10,185.50,188.20,188.20,3500000
2024-01-26,188.20,191.50,187.80,190.30,190.30,3800000
2024-01-29,190.30,193.20,189.60,192.10,192.10,3600000
2024-01-30,192.10,195.80,191.50,194.50,194.50,3900000
2024-01-31,194.50,197.60,193.80,196.30,196.30,3400000
2024-02-01,196.30,199.50,195.80,198.20,198.20,3700000
2024-02-02,198.20,201.30,197.60,200.10,200.10,4000000
2024-02-05,200.10,203.80,199.50,202.50,202.50,3800000
2024-02-06,202.50,205.60,201.80,204.30,204.30,4100000
2024-02-07,204.30,207.20,203.60,206.10,206.10,3900000
2024-02-08,206.10,209.50,205.40,208.20,208.20,4200000
2024-02-09,208.20,211.80,207.60,210.50,210.50,4300000
2024-02-12,210.50,213.60,209.80,212.30,212.30,4100000
2024-02-13,212.30,215.80,211.60,214.20,214.20,4400000
2024-02-14,214.20,217.50,213.50,216.10,216.10,4200000
2024-02-15,216.10,219.30,215.40,218.20,218.20,4300000
2024-02-16,218.20,221.80,217.60,220.50,220.50,4500000
2024-02-19,220.50,223.60,219.80,222.30,222.30,4300000
2024-02-20,222.30,225.80,221.60,224.20,224.20,4600000
2024-02-21,224.20,227.50,223.50,226.10,226.10,4400000
2024-02-22,226.10,229.30,225.40,228.20,228.20,4500000
2024-02-23,228.20,231.80,227.60,230.50,230.50,4700000
2024-02-26,230.50,233.60,229.80,232.30,232.30,4500000
2024-02-27,232.30,235.80,231.60,234.20,234.20,4800000
2024-02-28,234.20,237.50,233.50,236.10,236.10,4600000
2024-02-29,236.10,239.30,235.40,238.20,238.20,4700000
2024-03-01,238.20,241.80,237.60,240.50,240.50,4900000
2024-03-04,240.50,243.60,239.80,242.30,242.30,4700000
2024-03-05,242.30,245.80,241.60,244.20,244.20,5000000
2024-03-06,244.20,247.50,243.50,246.10,246.10,4800000
2024-03-07,246.10,249.30,245.40,248.20,248.20,4900000
2024-03-08,248.20,251.80,247.60,250.50,250.50,5100000
